,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
0, Octavia,3,1.4,10550,0,1,0,0,1
1, Citigo,2,1.0,8200,0,1,0,0,1
2, Octavia,1,2.0,15650,1,0,0,1,0
3, Yeti Outdoor,5,2.0,14000,1,0,0,1,0
4, Superb,1,1.5,18350,0,1,0,0,1
5, Yeti Outdoor,3,2.0,13250,1,0,0,1,0
6, Superb,1,1.5,15250,0,1,0,0,1
7, Octavia,1,2.0,18950,1,0,0,1,0
8, Kodiaq,1,2.0,29900,1,0,0,0,1
9, Octavia,3,2.0,18990,0,1,0,0,1
10, Octavia,4,2.0,8500,1,0,0,1,0
11, Octavia,3,1.6,8695,0,1,0,1,0
12, Superb,4,1.6,7000,0,1,0,1,0
13, Rapid,4,1.2,7950,0,1,0,0,1
14, Karoq,2,1.5,19772,0,1,0,0,1
15, Fabia,8,1.2,4695,0,1,0,0,1
16, Fabia,8,1.2,4250,0,1,0,0,1
17, Octavia,2,1.6,13490,1,0,0,1,0
18, Yeti,6,2.0,9980,0,1,0,1,0
19, Fabia,3,1.0,11290,0,1,0,0,1
20, Scala,0,1.0,17000,0,1,0,0,1
21, Octavia,1,1.5,13490,0,1,0,0,1
22, Octavia,1,1.0,14490,1,0,0,0,1
23, Octavia,1,2.0,19000,1,0,0,0,1
24, Fabia,1,1.0,13490,0,1,0,0,1
25, Superb,2,1.5,14690,0,1,0,0,1
26, Fabia,3,1.2,11890,1,0,0,0,1
27, Kodiaq,1,1.5,21290,1,0,0,0,1
28, Kodiaq,1,2.0,28000,1,0,0,1,0
29, Superb,1,2.0,17490,1,0,0,1,0
30, Superb,1,1.5,23000,1,0,0,0,1
31, Fabia,1,1.0,8690,0,1,0,0,1
32, Fabia,1,1.0,12690,0,1,0,0,1
33, Kodiaq,1,2.0,29000,1,0,0,0,1
34, Kodiaq,1,2.0,29000,1,0,0,0,1
35, Superb,3,2.0,20000,1,0,0,1,0
36, Yeti Outdoor,4,2.0,16000,1,0,0,1,0
37, Octavia,1,1.6,13690,1,0,0,1,0
38, Octavia,1,1.6,13000,0,1,0,1,0
39, Superb,1,2.0,24490,1,0,0,0,1
40, Fabia,1,1.0,13000,0,1,0,0,1
41, Fabia,1,1.0,10290,0,1,0,0,1
42, Octavia,1,1.6,14590,1,0,0,1,0
43, Fabia,4,1.2,9690,0,1,0,0,1
44, Octavia,1,1.6,12695,0,1,0,1,0
45, Karoq,2,1.5,20490,0,1,0,0,1
46, Karoq,1,2.0,25390,1,0,0,0,1
47, Octavia,1,1.5,14695,0,1,0,0,1
48, Kodiaq,0,2.0,31000,1,0,0,1,0
49, Scala,1,1.0,15290,0,1,0,0,1
50, Kodiaq,3,2.0,25000,1,0,0,0,1
51, Citigo,2,1.0,7490,0,1,0,0,1
52, Yeti Outdoor,3,1.2,14750,1,0,0,0,1
53, Octavia,1,1.0,15000,1,0,0,0,1
54, Fabia,4,1.2,11000,1,0,0,0,1
55, Yeti Outdoor,3,1.2,11000,1,0,0,0,1
56, Superb,2,2.0,18000,1,0,0,1,0
57, Octavia,1,2.0,19000,1,0,0,1,0
58, Karoq,1,1.6,19000,1,0,0,1,0
59, Superb,1,2.0,28000,1,0,0,1,0
60, Octavia,1,1.0,14495,1,0,0,0,1
61, Fabia,3,1.2,9290,0,1,0,0,1
62, Citigo,3,1.0,6790,0,1,0,0,1
63, Octavia,1,1.6,14150,0,1,0,1,0
64, Octavia,1,1.0,14650,1,0,0,0,1
65, Kodiaq,1,2.0,25800,1,0,0,1,0
66, Superb,4,2.0,13600,1,0,0,1,0
67, Karoq,1,1.5,20550,1,0,0,0,1
68, Octavia,1,1.0,12850,0,1,0,0,1
69, Superb,1,2.0,27250,1,0,0,1,0
70, Kodiaq,1,1.5,21700,1,0,0,0,1
71, Fabia,1,1.0,10000,0,1,0,0,1
72, Superb,1,1.5,19290,0,1,0,0,1
73, Superb,1,2.0,24500,1,0,0,0,1
74, Superb,3,2.0,15950,1,0,0,1,0
75, Fabia,0,1.0,13850,0,1,0,0,1
76, Superb,3,1.6,13300,0,1,0,1,0
77, Octavia,3,1.4,13000,1,0,0,0,1
78, Octavia,1,1.5,14250,0,1,0,0,1
79, Kodiaq,3,1.4,19950,1,0,0,0,1
80, Kodiaq,1,2.0,26140,1,0,0,1,0
81, Superb,1,2.0,21950,1,0,0,1,0
82, Octavia,1,2.0,15000,0,1,0,1,0
83, Karoq,1,1.6,21000,1,0,0,1,0
84, Octavia,1,1.5,17950,1,0,0,0,1
85, Kodiaq,1,1.5,25000,0,1,0,0,1
86, Octavia,1,1.6,15000,1,0,0,1,0
87, Octavia,1,2.0,18950,1,0,0,0,1
88, Fabia,3,1.2,10700,0,1,0,0,1
89, Octavia,1,1.5,14000,0,1,0,0,1
90, Fabia,1,1.0,10150,0,1,0,0,1
91, Kodiaq,1,1.5,26950,1,0,0,0,1
92, Fabia,3,1.4,8498,0,1,0,1,0
93, Fabia,3,1.0,7998,0,1,0,0,1
94, Octavia,4,2.0,9298,0,1,0,1,0
95, Fabia,3,1.2,8198,0,1,0,0,1
96, Octavia,4,1.6,8198,0,1,0,1,0
97, Yeti,6,1.2,11000,0,1,0,0,1
98, Roomster,8,1.2,5290,0,1,0,0,1
99, Octavia,3,1.4,12490,1,0,0,0,1
100, Octavia,7,2.0,6990,1,0,0,1,0
101, Superb,1,2.0,26500,1,0,0,0,1
102, Octavia,1,1.0,14650,1,0,0,0,1
103, Kodiaq,2,1.4,20250,0,1,0,0,1
104, Yeti Outdoor,3,1.2,13550,1,0,0,0,1
105, Superb,1,2.0,24000,1,0,0,0,1
106, Fabia,3,1.0,9150,0,1,0,0,1
107, Octavia,1,1.6,14900,1,0,0,1,0
108, Fabia,1,1.0,14000,1,0,0,0,1
109, Octavia,1,1.6,14850,1,0,0,1,0
110, Fabia,1,1.0,13250,0,1,0,0,1
111, Yeti Outdoor,3,1.2,13495,1,0,0,0,1
112, Fabia,4,1.2,9950,1,0,0,0,1
113, Superb,8,1.6,5790,0,1,0,1,0
114, Fabia,9,1.6,2795,0,1,0,1,0
115, Fabia,1,1.0,12490,0,1,0,0,1
116, Kamiq,0,1.5,19790,1,0,0,0,1
117, Superb,3,1.4,13000,1,0,0,0,1
118, Superb,1,1.5,18490,0,1,0,0,1
119, Fabia,3,1.2,11290,1,0,0,0,1
120, Octavia,1,1.0,12690,0,1,0,0,1
121, Fabia,1,1.0,9590,0,1,0,0,1
122, Fabia,3,1.0,11490,1,0,0,0,1
123, Octavia,6,1.6,8490,1,0,0,1,0
124, Fabia,1,1.0,11490,0,1,0,0,1
125, Octavia,1,1.6,15790,1,0,0,1,0
